                      Top1_20   Top3_20   Top5_20   Top7_20  Top10_20  \
Helix                0.900000  0.900000  1.000000  0.950000   0.950000   
Koi_Fish             0.833910  0.816609  0.816609  0.820069   0.816609   
Light_Modulation     0.897436  0.910256  0.923077  0.923077   0.910256   
Low_Frequency_Burst  0.830508  0.813559  0.816949  0.816949   0.810169   
Low_Frequency_Lines  0.893048  0.903743  0.914439  0.903743   0.903743   
No_Glitch            0.833935  0.830325  0.837545  0.833935   0.830325   
Paired_Doves         0.898058  0.907767  0.917476  0.907767   0.902913   
Power_Line           0.890909  0.900000  0.918182  0.918182   0.909091   
Repeating_Blips      0.895238  0.904762  0.923810  0.923810   0.914286   
Scattered_Light      0.823333  0.806667  0.810000  0.816667   0.803333   
Scratchy             0.893204  0.902913  0.922330  0.922330   0.912621   
Tomte                0.831650  0.814815  0.814815  0.818182   0.808081   
Violin_Mode          0.884615  0.884615  0.923077  0.923077   0.923077   
Wandering_Line       0.894737  0.894737  1.000000  0.947368   0.947368   
Whistle              0.876543  0.872428  0.884774  0.876543   0.868313   
total                0.853306  0.847107  0.854913  0.853306   0.847337   

                     Top1_140  Top3_140  Top5_140  Top7_140  Top10_140  \
1080Lines            0.904110  0.917808  0.908676  0.904110   0.922374   
1400Ripples          0.907692  0.915385  0.900000  0.892308   0.915385   
Air_Compressor       0.819728  0.846939  0.829932  0.836735   0.829932   
Blip                 0.822917  0.847222  0.829861  0.836806   0.829861   
Blip_Low_Frequency   0.853175  0.869048  0.849206  0.857143   0.865079   
Chirp                1.000000  1.000000  0.928571  0.928571   1.000000   
Extremely_Loud       0.822300  0.846690  0.829268  0.836237   0.829268   
Fast_Scattering      0.821306  0.848797  0.831615  0.838488   0.831615   
Helix                1.000000  1.000000  0.950000  0.950000   1.000000   
Koi_Fish             0.823529  0.847751  0.830450  0.837370   0.830450   
Light_Modulation     0.884615  0.910256  0.897436  0.871795   0.923077   
Low_Frequency_Burst  0.816949  0.844068  0.827119  0.833898   0.827119   
Low_Frequency_Lines  0.898396  0.909091  0.903743  0.903743   0.919786   
No_Glitch            0.837545  0.862816  0.837545  0.844765   0.844765   
Paired_Doves         0.902913  0.912621  0.907767  0.902913   0.922330   
Power_Line           0.909091  0.918182  0.909091  0.890909   0.918182   
Repeating_Blips      0.914286  0.923810  0.914286  0.895238   0.933333   
Scattered_Light      0.813333  0.840000  0.823333  0.826667   0.820000   
Scratchy             0.912621  0.932039  0.922330  0.902913   0.932039   
Tomte                0.818182  0.841751  0.824916  0.828283   0.821549   
Violin_Mode          0.884615  0.884615  0.865385  0.865385   0.923077   
Wandering_Line       1.000000  1.000000  0.947368  0.947368   1.000000   
Whistle              0.868313  0.884774  0.868313  0.868313   0.876543   
total                0.850551  0.870983  0.854913  0.856520   0.861570   

                     Top1_160  Top3_160  Top5_160  Top7_160  Top10_160  \
1080Lines            0.904110  0.913242  0.917808  0.904110   0.913242   
1400Ripples          0.900000  0.930769  0.915385  0.915385   0.930769   
Air_Compressor       0.833333  0.812925  0.816327  0.802721   0.809524   
Blip                 0.843750  0.822917  0.826389  0.812500   0.819444   
Blip_Low_Frequency   0.873016  0.861111  0.876984  0.857143   0.861111   
Chirp                0.928571  0.928571  0.928571  0.928571   0.857143   
Extremely_Loud       0.843206  0.822300  0.825784  0.811847   0.818815   
Fast_Scattering      0.838488  0.817869  0.821306  0.807560   0.814433   
Helix                0.900000  0.950000  0.900000  0.950000   0.900000   
Koi_Fish             0.844291  0.823529  0.826990  0.813149   0.820069   
Light_Modulation     0.897436  0.923077  0.923077  0.923077   0.935897   
Low_Frequency_Burst  0.833898  0.813559  0.816949  0.803390   0.810169   
Low_Frequency_Lines  0.893048  0.909091  0.914439  0.903743   0.914439   
No_Glitch            0.844765  0.830325  0.841155  0.826715   0.826715   
Paired_Doves         0.902913  0.917476  0.922330  0.907767   0.917476   
Power_Line           0.881818  0.918182  0.909091  0.909091   0.918182   
Repeating_Blips      0.885714  0.914286  0.904762  0.904762   0.914286   
Scattered_Light      0.836667  0.810000  0.810000  0.793333   0.806667   
Scratchy             0.883495  0.912621  0.912621  0.912621   0.922330   
Tomte                0.835017  0.811448  0.814815  0.801347   0.808081   
Violin_Mode          0.923077  0.923077  0.923077  0.923077   0.923077   
Wandering_Line       0.894737  0.947368  0.894737  0.947368   0.894737   
Whistle              0.880658  0.880658  0.893004  0.872428   0.872428   
total                0.859963  0.852617  0.855831  0.843664   0.850092   

                     Top1_180  Top3_180  Top5_180  Top7_180  Top10_180  \
1080Lines            0.908676  0.922374  0.936073  0.908676   0.917808   
1400Ripples          0.892308  0.930769  0.938462  0.915385   0.923077   
Air_Compressor       0.833333  0.846939  0.850340  0.833333   0.823129   
Blip                 0.836806  0.854167  0.857639  0.840278   0.833333   
Blip_Low_Frequency   0.861111  0.873016  0.873016  0.857143   0.869048   
Chirp                0.785714  0.785714  0.785714  0.785714   0.857143   
Extremely_Loud       0.836237  0.853659  0.857143  0.839721   0.832753   
Fast_Scattering      0.838488  0.852234  0.855670  0.838488   0.831615   
Helix                0.850000  0.850000  0.850000  0.850000   0.900000   
Koi_Fish             0.837370  0.854671  0.858131  0.840830   0.833910   
Light_Modulation     0.910256  0.935897  0.923077  0.910256   0.910256   
Low_Frequency_Burst  0.833898  0.847458  0.850847  0.833898   0.823729   
Low_Frequency_Lines  0.919786  0.941176  0.941176  0.919786   0.930481   
No_Glitch            0.841155  0.859206  0.862816  0.848375   0.844765   
Paired_Doves         0.917476  0.932039  0.936893  0.907767   0.917476   
Power_Line           0.900000  0.927273  0.936364  0.918182   0.927273   
Repeating_Blips      0.895238  0.933333  0.933333  0.923810   0.923810   
Scattered_Light      0.823333  0.840000  0.846667  0.830000   0.820000   
Scratchy             0.893204  0.932039  0.932039  0.922330   0.922330   
Tomte                0.828283  0.841751  0.851852  0.835017   0.824916   
Violin_Mode          0.884615  0.923077  0.903846  0.903846   0.923077   
Wandering_Line       0.842105  0.842105  0.842105  0.842105   0.894737   
Whistle              0.876543  0.888889  0.893004  0.876543   0.880658   
total                0.857668  0.875344  0.879247  0.861800   0.860652   

                     Top1_200  Top3_200  Top5_200  Top7_200  Top10_200  
1080Lines            0.908676  0.917808  0.931507  0.908676   0.917808  
1400Ripples          0.907692  0.930769  0.930769  0.923077   0.930769  
Air_Compressor       0.826531  0.819728  0.816327  0.809524   0.816327  
Blip                 0.836806  0.829861  0.829861  0.819444   0.822917  
Blip_Low_Frequency   0.869048  0.865079  0.876984  0.865079   0.865079  
Chirp                0.928571  0.928571  0.857143  0.857143   0.928571  
Extremely_Loud       0.839721  0.829268  0.829268  0.818815   0.822300  
Fast_Scattering      0.831615  0.824742  0.824742  0.817869   0.821306  
Helix                0.900000  0.950000  0.900000  0.900000   0.950000  
Koi_Fish             0.837370  0.830450  0.830450  0.820069   0.823529  
Light_Modulation     0.871795  0.910256  0.923077  0.910256   0.923077  
Low_Frequency_Burst  0.823729  0.816949  0.813559  0.806780   0.816949  
Low_Frequency_Lines  0.893048  0.909091  0.925134  0.909091   0.909091  
No_Glitch            0.859206  0.841155  0.848375  0.837545   0.837545  
Paired_Doves         0.902913  0.912621  0.927184  0.902913   0.912621  
Power_Line           0.890909  0.918182  0.918182  0.918182   0.918182  
Repeating_Blips      0.895238  0.923810  0.933333  0.923810   0.923810  
Scattered_Light      0.820000  0.813333  0.813333  0.806667   0.816667  
Scratchy             0.893204  0.922330  0.932039  0.922330   0.922330  
Tomte                0.821549  0.814815  0.811448  0.804714   0.814815  
Violin_Mode          0.865385  0.923077  0.903846  0.903846   0.903846  
Wandering_Line       0.894737  0.947368  0.894737  0.894737   0.947368  
Whistle              0.880658  0.880658  0.884774  0.872428   0.876543  
total                0.855831  0.856749  0.859275  0.848944   0.854683  
